충전소ID,충전기ID,2023년 01월 충전횟수,2023년 01월 충전량,2023년 02월 충전횟수,2023년 02월 충전량,2023년 03월 충전횟수,2023년 03월 충전량,2023년 04월 충전횟수,2023년 04월 충전량,2023년 05월 충전횟수,2023년 05월 충전량,2023년 06월 충전횟수,2023년 06월 충전량,2023년 07월 충전횟수,2023년 07월 충전량,2023년 08월 충전횟수,2023년 08월 충전량,2023년 09월 충전횟수,2023년 09월 충전량
ME18B406,2,186,3705.73,140,2886.69,163,3434.49,153,3845.44,112,2794.19,133,3359.9,117,3085.83,157,4304.96,177,4638.35
ME18B406,3,168,3861.53,165,3804.87,146,3246.35,117,2421.64,135,3410.96,84,1807.66,114,2606.44,142,3577.9,107,2738.74
ME18B406,4,132,2694.23,75,1598.02,150,3084.11,117,2233.74,79,1901.47,169,4469.17,186,5206.27,240,6179.86,183,5037.14
ME18B408,1,238,5725.91,196,4795.06,141,3415.86,149,3854.18,142,4151.21,165,4951.85,205,6129.62,174,5106.58,138,4066.72
ME18B408,2,95,2154.9,59,1394.95,57,1308.56,52,1212.41,66,1824.34,53,1403.31,60,1468.23,56,1481.59,64,1942.9
ME18B408,3,57,1307.6,54,1210.84,36,1025.04,56,1557.48,42,1350.52,44,1248.81,57,1581.13,52,1530.49,57,1917.33
ME18B408,4,92,2313.91,65,1474.07,59,1647.77,54,1552.87,58,1671.72,37,1203.79,60,1970.27,58,1685.27,45,1089.49
ME19A149,1,62,1526.12,45,1067.51,37,1040.53,30,724.47,35,963.22,20,612.6,15,487.74,14,458.11,31,937.37
ME19A150,1,223,4695.09,142,3025.75,103,2516.78,147,3634.74,127,3343.12,120,3231.23,93,2821.92,110,2822.72,92,2211.07
ME19A151,1,100,2427.88,76,2011.47,77,2030.95,53,1406.91,49,1291.69,51,1458.53,44,1086.64,47,1328.46,36,1173.73
ME19A152,1,234,5661.07,193,4961.85,166,3993.75,137,3122.95,106,2768.95,82,1908.79,72,1618.39,67,1648.26,45,1155.65
ME19A153,1,286,6409.38,232,4553.59,176,3954.31,169,3826.2,166,3833.94,165,4403.9,135,3468.47,171,4488.83,158,3765.06
